,pr_auc,macro_precision,macro_recall,macro_f1,mcc
ensemble_xgb_+_lgb,0.2618630763740142,0.6523316400617014,0.681841355525566,0.6654269505716721,0.3328674926648886
ensemble_weighted_xgb_+_lgb,0.26370430214279994,0.6524795368435612,0.6851402009296746,0.6667961551398239,0.3360362604772327
ensemble_xgb_+_rf,0.2506992280329314,0.6408476658476658,0.6891063127905234,0.6603911042944786,0.32640577662537656
ensemble_weighted_xgb_+_rf,0.2559178987305652,0.6493584830357426,0.6975258659469186,0.6691436488487706,0.34352387805305884
ensemble_lgb_rf,0.24681938180806415,0.629999554830694,0.6926675663517768,0.6532584806987048,0.31652297140046054
ensemble_all,0.2531405829643159,0.6443381561913097,0.6899160293897136,0.6631111203074807,0.33113217610667706
ensemble_all_xgb_weighted,0.2565888645574613,0.6428931798886058,0.692810016494227,0.6630397312550459,0.33197130220086585
