,pr_auc,macro_precision,macro_recall,macro_f1,mcc
xgb,0.2614560228110129,0.6464048745311642,0.6936197330934173,0.665784701121347,0.33673059100889113
lightgbm,0.2556164709800567,0.6347360239238908,0.6907857249962513,0.6564194906464538,0.3206600069072024
randomforest,0.2301318877805169,0.6087758112094395,0.6795921427500375,0.6321244572773086,0.27953733929102775
